idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml),Measure1 (percent),Measure2 (percent),Measure3 (percent),Measure4 (percent),Measure5 (percent),Measure6 (percent)
14181,Cafe Savoy,Coffee / Tea,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee,Milk,Triple sec,Brandy,,,0,1/2 *30 ml ,1/2 *30 ml ,0,0,0,0,15,15,0,0,0,0,50,50,0,0,0
14608,Cream Soda,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Spiced rum,Ginger ale,,,,,1 *30 ml ,0,0,0,0,0,30,0,0,0,0,0,100,0,0,0,0,0
17135,Citrus Coke,Soft Drink / Soda,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Bacardi Limon,Coca-Cola,,,,,1,2,0,0,0,0,1,2,0,0,0,0,33,66,0,0,0,0
11251,City Slicker,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Brandy,Triple sec,Lemon juice,,,,2 *30 ml ,1/2 *30 ml ,1 *15 ml ,0,0,0,60,15,15,0,0,0,66,16,16,0,0,0
11255,Clove Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Sweet Vermouth,Sloe gin,Wine,,,,1 *30 ml ,1/2 *30 ml ,1/2 *30 ml Muscatel ,0,0,0,30,15,15,0,0,0,50,25,25,0,0,0
15409,Danbooka,Coffee / Tea,Alcoholic,Coffee Mug,pour it in and mix it.,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee,Everclear,,,,,3,1,0,0,0,0,3,1,0,0,0,0,75,25,0,0,0,0
11320,Dragonfly,Ordinary Drink,Alcoholic,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,Gin,Ginger ale,Lime,,,,1 1/2 *30 ml ,4 *30 ml ,1,0,0,0,165,120,1,0,0,0,57,41,0,0,0,0
11005,Dry Martini,Cocktail,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Gin,Dry Vermouth,Olive,,,,1 2/3 *30 ml ,1/3 *30 ml ,1,0,0,0,120,10,1,0,0,0,91,7,0,0,0,0
17211,Dark and Stormy,Ordinary Drink,Alcoholic,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Dark Rum,Ginger Beer,,,,,5 *10 ml,10 *10 ml,0,0,0,0,50,100,0,0,0,0,33,66,0,0,0,0
13194,Damned if you do,Shot,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Whiskey,Hot Damn,,,,,0.75 *30 ml ,0.25 *30 ml ,0,0,0,0,22.5,7.5,0,0,0,0,75,25,0,0,0,0
11338,English Highball,Ordinary Drink,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,Brandy,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,3/4 *30 ml ,3/4 *30 ml ,3/4 *30 ml ,0,0,0,22.5,22.5,22.5,0,0,0,33,33,33,0,0,0
